title,author,address,lat,lng,description
Breakfast at Tiffany's,Truman Capote,"Tiffany & Co., 727 5th Ave, New York, NY",40.7589,-73.9851,The famous jewelry store that inspired the title of the novel and film.
The Catcher in the Rye,J.D. Salinger,"Central Park, New York, NY",40.7829,-73.9654,Holden Caulfield often wanders through this iconic park.
The Great Gatsby,F. Scott Fitzgerald,"West Egg (inspired by Great Neck, Long Island, NY)",40.8044,-73.7286,"Though fictional, West Egg is inspired by this area where Fitzgerald lived."
A Tree Grows in Brooklyn,Betty Smith,"85 Willoughby St, Brooklyn, NY",40.6936,-73.9881,"The house where Betty Smith grew up, inspiring her novel."
The Bell Jar,Sylvia Plath,"345 East 57th St, New York, NY",40.7614,-73.9681,Address where Sylvia Plath briefly lived.
On the Road,Jack Kerouac,"206 East 7th St, New York, NY",40.7229,-73.9851,Apartment where Kerouac wrote part of his iconic Beat Generation novel.
The Raven (Poem),Edgar Allan Poe,"85 West 3rd St, New York, NY (Poe Cottage)",40.7306,-73.9956,"Poe's last residence in New York, now a museum."
Sex and the City,Candace Bushnell,"1133 Broadway, New York, NY (Café Bemo)",40.7449,-73.9887,Iconic meeting spot for Carrie Bradshaw and her friends (inspired by Café Bemo).
Ghost Stories ,Siri Hustvedt,"18 Tompkins Pl, Brooklyn, NY 11231, États-Unis",40.685553156216415,-73.995884,
Remember Me,Mary Higgins Clark,"New York, État de New York, États-Unis",40.77388586855177,-73.94572,
Strangers,Belle Burden,"10 Gracie Square, New York, NY 10028, États-Unis",40.77303709608341,-73.944928,Appartment after parent's divorce
Manhattan Loverboy,Arthur Nersesian,"131 E 66th St, New York, NY 10065, États-Unis",40.76681771202591,-73.964677,Joey's uncle appartment 
A Little Life,Hanya yanagihara,"57 Lispenard St, New York, NY 10013, États-Unis",40.71986409002098,-74.002662,Where Willem and Jude lived. 
A Little Life,Hanya yanagihara,"245 E 25th St, New York, NY 10010, États-Unis",40.73969154846995,-73.980227,The boys go here to search for an appartment at first
A Little Life,Hanya yanagihara,"73 Mulberry St, New York, NY 10013, États-Unis",40.71693298030144,-73.999377,The boys meet here in Chinatown twice a month for dinner
"Bright Lights, Big City (1984)",Jay McInerney,"145 W Broadway, New York, NY 10013, États-Unis",40.71717413491221,-74.00782327538852,The Odeon
Story of my life (1988),Jay McInerney,"244 W 14th St, New York, NY 10011, États-Unis",40.739505231340026,-74.00194120422249,Nell's
"Bright, Precious Days",Jay McInerney,"Balthazar, 80 Spring Street, New York, NY",40.7223,-73.9998,The real SoHo brasserie that appears as a meeting spot in the novel.
"Bright, Precious Days",Jay McInerney,"Per Se, 10 Columbus Circle, New York, NY",40.7686,-73.9829,The real Thomas Keller restaurant referenced for Russell's wine-collector social circle.
The Big Sleep,Raymond Chandler,"616 South Oxford Ave, Los Angeles, CA (Philip Marlowe's House)",34.0624,-118.2945,"Fictional address of detective Philip Marlowe, inspired by Los Angeles."
Ask the Dust,John Fante,"Bunker Hill, Los Angeles, CA",34.0522,-118.2437,"Neighborhood where much of the novel takes place, now transformed."
